                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                0.15884,                0.00929,                0.13779,                0.76297,                0.90201,                0.96892,                0.97473,                0.73796,                0.90574,                0.96339,                0.97034,                0.63864,                0.76638,                 2.1812,                0.86596,                0.83459,              0.0007526,              0.0007526,              0.0007526
                     65,                0.15447,                0.00661,                0.13269,                0.75337,                0.89505,                0.95881,                0.96674,                0.73568,                0.91316,                0.96249,                0.96873,                0.64513,                0.77481,                 2.2589,                 1.4818,                0.83952,              0.0007328,              0.0007328,              0.0007328
                     66,                0.15296,                0.00215,                0.13593,                0.76458,                0.90928,                0.95423,                0.96562,                0.72523,                0.92322,                0.96307,                0.97886,                0.64138,                0.76109,                 2.5141,                 1.2421,                0.83556,               0.000713,               0.000713,               0.000713
                     67,                 0.1507,                0.00129,                0.13095,                0.76216,                0.90234,                 0.9611,                0.96743,                0.73683,                0.92584,                0.97127,                0.97483,                0.64376,                0.76383,                 2.5724,                 1.1101,                0.83365,              0.0006932,              0.0006932,              0.0006932
                     68,                 0.1486,                0.00094,                0.12884,                0.76401,                0.88762,                0.95881,                 0.9622,                0.73108,                0.90948,                0.96567,                0.96918,                0.64729,                0.78981,                 2.7336,                0.89022,                  0.844,              0.0006734,              0.0006734,              0.0006734
                     69,                0.14487,                0.00081,                0.12549,                 0.7583,                0.90748,                0.94737,                0.96947,                0.73922,                 0.9269,                0.95758,                 0.9813,                0.64984,                0.76853,                 2.8476,                0.84269,                0.84084,              0.0006536,              0.0006536,              0.0006536
                     70,                 0.1436,                0.00063,                0.12553,                0.76157,                0.89962,                0.94339,                 0.9666,                0.73559,                0.91867,                0.95652,                 0.9733,                0.64127,                0.76158,                 2.9543,                 1.1295,                0.83843,              0.0006338,              0.0006338,              0.0006338
                     71,                0.13149,                0.00051,                0.11858,                0.76074,                0.90974,                0.96872,                  0.977,                0.73774,                0.92176,                0.96796,                0.97563,                0.64406,                0.76209,                 3.0066,                 1.0235,                0.84133,               0.000614,               0.000614,               0.000614
                     72,                0.13094,                0.00051,                0.11588,                 0.7583,                0.90581,                0.95423,                0.96717,                0.73258,                0.93317,                0.96339,                0.97689,                0.63412,                0.75722,                 3.1043,                 1.0417,                0.84091,              0.0005942,              0.0005942,              0.0005942
                     73,                0.12569,                0.00037,                0.11324,                 0.7609,                  0.916,                0.94825,                0.97954,                0.74358,                0.91972,                0.95652,                0.97588,                0.65216,                0.74835,                 3.1284,                0.90158,                0.83467,              0.0005744,              0.0005744,              0.0005744
                     74,                0.12127,                0.00041,                0.11062,                0.76113,                0.89425,                0.95652,                0.97253,                0.74248,                0.91374,                0.96339,                0.98007,                 0.6475,                0.75207,                 3.1551,                0.71288,                0.83663,              0.0005546,              0.0005546,              0.0005546
                     75,                0.11491,                0.00094,                0.10602,                0.74635,                0.90793,                0.94779,                0.97447,                0.73505,                0.92465,                0.94966,                0.97606,                0.64384,                0.75393,                 3.0367,                 0.9447,                0.83445,              0.0005348,              0.0005348,              0.0005348
                     76,                0.11424,                0.00092,                0.10622,                0.76221,                0.91451,                0.95472,                 0.9726,                0.74044,                0.92197,                0.95881,                0.97357,                0.65483,                0.74648,                 3.0708,                0.64636,                0.83428,               0.000515,               0.000515,               0.000515
                     77,                0.11215,                0.00253,                0.10431,                0.75667,                0.90376,                0.94737,                0.96738,                0.73663,                0.91237,                0.95305,                0.97082,                0.64926,                0.75998,                 2.9016,                0.61842,                0.83418,              0.0004952,              0.0004952,              0.0004952
                     78,                0.11033,                0.00682,                0.10171,                0.76057,                0.91156,                0.96701,                0.97489,                0.74254,                0.91151,                0.96638,                 0.9715,                0.65369,                0.74671,                 2.9506,                0.67904,                0.83227,              0.0004754,              0.0004754,              0.0004754
                     79,                0.10574,                0.00142,                0.09828,                0.75451,                0.90397,                0.95423,                0.97111,                0.74452,                0.92013,                 0.9611,                0.97488,                0.64667,                0.74466,                 2.7286,                0.74364,                0.83091,              0.0004556,              0.0004556,              0.0004556
                     80,                0.10188,                0.00038,                0.09547,                0.75532,                0.89391,                0.96405,                0.97313,                0.74138,                0.91631,                0.96796,                0.97425,                0.64601,                0.75534,                 2.7556,                0.98071,                 0.8358,              0.0004358,              0.0004358,              0.0004358
                     81,                0.09899,                0.00017,                0.09463,                0.76393,                0.90706,                0.96037,                0.97143,                0.74152,                0.92205,                 0.9611,                0.97451,                0.65081,                0.74895,                 2.8577,                0.87703,                0.83482,               0.000416,               0.000416,               0.000416
                     82,                0.09552,                 0.0001,                0.09024,                0.74094,                0.90737,                0.95652,                0.97164,                0.74192,                0.92991,                0.95652,                0.97609,                0.64889,                0.74899,                 2.9804,                0.83622,                0.83497,              0.0003962,              0.0003962,              0.0003962
                     83,                0.09296,                  6e-05,                0.08838,                0.76483,                0.90733,                 0.9634,                0.97426,                0.74855,                 0.9211,                0.96796,                0.97441,                0.65351,                0.74054,                 3.0373,                0.91781,                0.83184,              0.0003764,              0.0003764,              0.0003764
                     84,                0.08844,                  5e-05,                0.08678,                0.75185,                0.91871,                0.95685,                0.97914,                0.74944,                0.92948,                0.96568,                0.97712,                0.65138,                0.74489,                 3.0026,                0.93709,                0.83418,              0.0003566,              0.0003566,              0.0003566
                     85,                0.08523,                  5e-05,                0.08585,                0.75482,                0.91839,                0.95195,                0.98015,                0.75168,                0.93003,                 0.9611,                0.97746,                0.64726,                  0.742,                 3.0656,                0.72899,                0.83424,              0.0003368,              0.0003368,              0.0003368
                     86,                0.08049,                  7e-05,                0.08086,                0.75866,                0.91606,                0.94737,                0.97757,                0.75041,                0.93342,                 0.9611,                0.97758,                 0.6466,                0.74337,                  3.066,                0.83932,                0.83411,               0.000317,               0.000317,               0.000317
                     87,                0.07666,                  3e-05,                0.07851,                0.75156,                0.91427,                 0.9611,                0.97487,                0.74357,                0.92724,                0.96232,                0.97786,                 0.6509,                0.74466,                 3.1159,                0.85999,                0.83579,              0.0002972,              0.0002972,              0.0002972
                     88,                0.07151,                  3e-05,                0.07457,                0.76118,                0.91555,                0.95881,                0.97581,                0.74522,                0.92614,                0.96796,                0.97884,                0.64956,                0.75016,                 3.1766,                 0.9188,                0.83676,              0.0002774,              0.0002774,              0.0002774
                     89,                 0.0708,                  4e-05,                0.07272,                0.75221,                0.91379,                0.95881,                0.97252,                0.73572,                0.92323,                 0.9611,                0.97656,                0.64988,                0.74607,                 3.1364,                  0.825,                0.83716,              0.0002576,              0.0002576,              0.0002576
                     90,                0.06523,                  2e-05,                0.06984,                0.75751,                0.91653,                0.95475,                0.97716,                0.73593,                0.92763,                 0.9611,                0.97779,                 0.6494,                  0.744,                 3.1378,                0.82483,                0.83543,              0.0002378,              0.0002378,              0.0002378
                     91,                0.06368,                  2e-05,                0.06768,                0.75802,                0.90764,                0.95881,                0.96981,                0.73222,                0.91887,                0.96796,                0.97605,                0.64773,                0.74157,                 3.2062,                0.90642,                0.83493,               0.000218,               0.000218,               0.000218
                     92,                0.05878,                  2e-05,                0.06356,                 0.7542,                   0.91,                 0.9611,                 0.9697,                0.73242,                0.92009,                0.96796,                0.97528,                0.64766,                0.74837,                   3.24,                0.91511,                0.83847,              0.0001982,              0.0001982,              0.0001982
                     93,                0.05648,                  2e-05,                0.06218,                 0.7599,                0.90877,                0.95881,                0.97099,                0.73868,                0.91966,                0.96919,                0.97682,                0.65359,                0.74279,                 3.2399,                0.87212,                0.83637,              0.0001784,              0.0001784,              0.0001784
                     94,                0.05128,                  1e-05,                 0.0577,                0.74488,                0.90688,                0.95881,                0.97145,                0.74199,                 0.9166,                0.96796,                0.97604,                0.65255,                0.74006,                 3.2075,                0.80521,                  0.835,              0.0001586,              0.0001586,              0.0001586
                     95,                0.04996,                  2e-05,                0.05653,                0.74507,                0.90635,                0.95881,                 0.9666,                0.72981,                 0.9193,                0.96796,                0.97496,                  0.644,                  0.743,                 3.2193,                0.86939,                0.83512,              0.0001388,              0.0001388,              0.0001388
                     96,                0.04526,                  1e-05,                0.05273,                0.75531,                0.90533,                 0.9611,                0.97072,                0.73143,                0.91497,                0.96796,                0.97459,                0.64571,                0.74061,                 3.2408,                0.85441,                0.83449,               0.000119,               0.000119,               0.000119
                     97,                0.04312,                  1e-05,                0.05094,                0.75239,                0.90851,                 0.9611,                0.97207,                0.73146,                0.91727,                0.96796,                0.97511,                0.64584,                0.74114,                 3.2429,                0.89284,                0.83532,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.04064,                  1e-05,                0.04945,                0.75414,                0.90722,                0.95881,                0.96455,                0.72505,                0.91659,                0.96796,                0.97455,                0.64126,                 0.7449,                 3.2493,                0.86666,                0.83635,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.03807,                  1e-05,                0.04746,                0.75378,                0.90504,                 0.9596,                0.96024,                0.71759,                0.91588,                0.96796,                 0.9732,                0.63744,                0.74406,                 3.2626,                0.92728,                0.83635,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.03476,                  1e-05,                0.04433,                0.75019,                0.90316,                0.96339,                 0.9598,                0.71821,                0.91004,                0.96796,                0.97165,                0.63889,                 0.7414,                  3.261,                0.92107,                0.83553,               3.98e-05,               3.98e-05,               3.98e-05
